in_filename,bit_exposed_in_10k
./temp/Q049.input,6870
./temp/Q0266.input,4060
./temp/Q0439.input,6190
./temp/Q0243.input,4252
./temp/Q0277.input,4510
./temp/Q0336.input,5324
