,in_filename,bit_exposed_in_10k,QBER,fvals,rvals
0,./temp/Q049.input,5107,0.049,1.7677093755063034,0.49873046875
1,./temp/Q0266.input,3786,0.0266,2.0883392725280876,0.3697265625
2,./temp/Q0439.input,4511,0.0439,1.695011922066622,0.44052734375
3,./temp/Q0243.input,3084,0.0243,1.8258759485107126,0.301171875
4,./temp/Q0277.input,3525,0.0277,1.8839355319388318,0.34423828125
5,./temp/Q0336.input,3740,0.0336,1.721697756725525,0.365234375
